data;

 param time := 10 ;

 param netTime := 6 ;

 param Warmup := 2 ;

 set SPECS := sp1  sp2  sp3  sp4   ; 

 set INPUTS := f1  f2  f3  f4  f5  f6  f7  f8   ; 

 param:    POOLS:   fixcost  :=
 	 pl1 	 149
 	 pl2 	 149
 	 pl3 	 118
 	 pl4 	 117
 	 pl5 	 137
 	 pl6 	 115
 	 pl7 	 148
 	 pl8 	 131
 	 pl9 	 128
 	 pl10 	 118 ; 

 param:   BLENDS:   revenue   initialinv  :=
  	 B1  	  36 		 39
  	 B2  	  46 		 29
  	 B3  	  36 		 36
  	 B4  	  45 		 29
  	 B5  	  37 		 26 ; 

 param 			 prodrate: 
		1 	 2 	 3 	 4 	 5 	 6 	 7 	 8 	 9 	 10 	  	 := 
 f1 		 25 	  48 	  24 	  28 	  18 	  28 	  23 	  20 	  22 	  29 	 
 f2 		 41 	  36 	  12 	  29 	  16 	  13 	  19 	  16 	  23 	  22 	 
 f3 		 34 	  37 	  19 	  14 	  10 	  25 	  27 	  19 	  16 	  13 	 
 f4 		 36 	  31 	  25 	  12 	  28 	  16 	  22 	  28 	  24 	  16 	 
 f5 		 44 	  32 	  24 	  21 	  26 	  14 	  29 	  25 	  23 	  17 	 
 f6 		 41 	  46 	  22 	  28 	  28 	  26 	  14 	  26 	  11 	  22 	 
 f7 		 41 	  35 	  10 	  25 	  29 	  17 	  14 	  29 	  16 	  15 	 
 f8 		 42 	  27 	  14 	  23 	  16 	  25 	  14 	  14 	  24 	  23 	  ; 

 param 		 demand: 
		1 	 2 	 3 	 4 	 5 	 6 	 7 	 8 	 9 	 10 	  	 := 
 B1 		 19 	  20 	  27 	  28 	  18 	  26 	  21 	  26 	  26 	  22 	 
 B2 		 17 	  12 	  29 	  27 	  25 	  26 	  29 	  27 	  19 	  25 	 
 B3 		 18 	  18 	  19 	  24 	  27 	  24 	  26 	  23 	  23 	  22 	 
 B4 		 16 	  13 	  23 	  22 	  27 	  21 	  22 	  27 	  26 	  21 	 
 B5 		 15 	  11 	  23 	  21 	  24 	  26 	  27 	  20 	  18 	  20 	  ; 

 param: 	 CONTRACTPOOLS: 	 duration  :=
 		 pl1 		 8
 		 pl2 		 8
 		 pl3 		 5
 		 pl4 		 2
 		 pl5 		 8
 		 pl6 		 2 ; 

 param:    capacity := 
 pl1 		 51
 pl2 		 63
 pl3 		 42
 pl4 		 63
 pl5 		 51
 pl6 		 42
 pl7 		 109
 pl8 		 75
 pl9 		 112
 pl10 		 127
 f1 		 234
 f2 		 96
 f3 		 300
 f4 		 120
 f5 		 300
 f6 		 201
 f7 		 201
 f8 		 201
 B1 		 95
 B2 		 95
 B3 		 79
 B4 		 90
 B5 		 90 ; 

 param 		 speclevel:
 		sp1 	 sp2 	 sp3 	 sp4 	  := 
 f1 		 0.67 	 0.49 	 0.33 	 0.56 	 
 f2 		 0.70 	 0.70 	 0.27 	 0.53 	 
 f3 		 0.35 	 0.60 	 0.22 	 0.50 	 
 f4 		 0.31 	 0.33 	 0.38 	 0.58 	 
 f5 		 0.24 	 0.61 	 0.36 	 0.43 	 
 f6 		 0.23 	 0.63 	 0.57 	 0.70 	 
 f7 		 0.50 	 0.28 	 0.53 	 0.22 	 
 f8 		 0.47 	 0.41 	 0.71 	 0.31 	  ; 

 param:   ARCS: 		 flowlbd 	 varcost  :=
  		 [f1,pl1] 		 8 	 9
  		 [f1,pl2] 		 6 	 10
  		 [f1,pl3] 		 5 	 17
  		 [f1,pl6] 		 7 	 13
  		 [f2,pl1] 		 9 	 13
  		 [f2,pl2] 		 9 	 17
  		 [f2,pl3] 		 8 	 14
  		 [f2,pl4] 		 5 	 15
  		 [f2,pl6] 		 9 	 11
  		 [f3,pl2] 		 9 	 16
  		 [f3,pl3] 		 8 	 9
  		 [f3,pl5] 		 9 	 13
  		 [f3,pl6] 		 7 	 9
  		 [f4,pl3] 		 9 	 13
  		 [f4,pl4] 		 6 	 16
  		 [f4,pl6] 		 8 	 12
  		 [f5,pl1] 		 5 	 12
  		 [f5,pl3] 		 7 	 11
  		 [f5,pl5] 		 8 	 13
  		 [f6,pl2] 		 6 	 11
  		 [f6,pl3] 		 9 	 16
  		 [f6,pl4] 		 8 	 13
  		 [f6,pl5] 		 9 	 16
  		 [f7,pl3] 		 7 	 9
  		 [f7,pl4] 		 9 	 13
  		 [f7,pl6] 		 9 	 11
  		 [f8,pl1] 		 9 	 10
  		 [f8,pl5] 		 6 	 10
  		 [f8,pl6] 		 5 	 16
 		 [pl1,pl8] 		 2 	 11
 		 [pl1,pl9] 		 2 	 5
 		 [pl2,pl7] 		 4 	 5
 		 [pl2,pl8] 		 3 	 10
 		 [pl2,pl10] 		 3 	 9
 		 [pl3,pl9] 		 2 	 9
 		 [pl3,pl10] 		 4 	 9
 		 [pl4,pl9] 		 3 	 6
 		 [pl5,pl8] 		 3 	 9
 		 [pl5,pl9] 		 3 	 5
 		 [pl5,pl10] 		 3 	 6
 		 [pl6,pl7] 		 4 	 5
 		 [pl6,pl8] 		 5 	 6
  		 [pl2,B3] 		 5 	 14
  		 [pl3,B4] 		 9 	 15
  		 [pl4,B5] 		 5 	 10
  		 [pl5,B2] 		 9 	 10
  		 [pl6,B5] 		 8 	 13
  		 [pl7,B3] 		 9 	 10
  		 [pl7,B5] 		 8 	 13
  		 [pl8,B2] 		 6 	 16
  		 [pl8,B3] 		 7 	 9
  		 [pl8,B5] 		 7 	 10
  		 [pl9,B2] 		 7 	 14
  		 [pl9,B5] 		 8 	 13
  		 [pl10,B1] 		 6 	 10
  		 [pl10,B2] 		 9 	 10 ; 

 param 		 minspec:
 		sp1 	 sp2 	 sp3 	 sp4 	  := 
 B1 		 0.28 	 0.34 	 0.25 	 0.29 	 
 B2 		 0.29 	 0.32 	 0.33 	 0.24 	 
 B3 		 0.35 	 0.40 	 0.25 	 0.43 	 
 B4 		 0.30 	 0.28 	 0.22 	 0.22 	 
 B5 		 0.28 	 0.41 	 0.25 	 0.40 	  ; 

 param 		 maxspec:
 		sp1 	 sp2 	 sp3 	 sp4 	  := 
 B1 		 0.70 	 0.65 	 0.69 	 0.69 	 
 B2 		 0.64 	 0.67 	 0.71 	 0.62 	 
 B3 		 0.68 	 0.69 	 0.55 	 0.66 	 
 B4 		 0.58 	 0.63 	 0.54 	 0.57 	 
 B5 		 0.52 	 0.61 	 0.56 	 0.66 	  ; 
