data;

 param time := 15 ;

 param Warmup := 2 ;

 set SPECS := sp1  sp2  sp3  sp4   ; 

 set INPUTS := f1  f2  f3  f4  f5  f6  f7  f8   ; 

 param:    POOLS:   fixcost  :=
 	 pl1 	 135
 	 pl2 	 143
 	 pl3 	 118
 	 pl4 	 124
 	 pl5 	 135
 	 pl6 	 119
 	 pl7 	 140
 	 pl8 	 121
 	 pl9 	 115
 	 pl10 	 116 ; 

 param:   BLENDS:   revenue   initialinv  :=
  	 B1  	  45 		 35
  	 B2  	  46 		 34
  	 B3  	  40 		 18
  	 B4  	  47 		 34
  	 B5  	  41 		 34 ; 

 param 			 prodrate: 
		1 	 2 	 3 	 4 	 5 	 6 	 7 	 8 	 9 	 10 	 11 	 12 	 13 	 14 	 15 	  	 := 
 f1 		 22 	  30 	  31 	  19 	  33 	  23 	  14 	  15 	  20 	  15 	  23 	  15 	  17 	  10 	  23 	 
 f2 		 22 	  28 	  18 	  19 	  30 	  20 	  18 	  15 	  10 	  22 	  14 	  17 	  11 	  16 	  21 	 
 f3 		 29 	  31 	  33 	  27 	  31 	  27 	  12 	  14 	  23 	  13 	  19 	  12 	  21 	  18 	  19 	 
 f4 		 26 	  16 	  24 	  17 	  22 	  15 	  19 	  17 	  16 	  12 	  21 	  12 	  10 	  14 	  13 	 
 f5 		 23 	  24 	  22 	  30 	  24 	  32 	  12 	  14 	  15 	  10 	  12 	  19 	  19 	  20 	  13 	 
 f6 		 33 	  22 	  28 	  28 	  25 	  18 	  15 	  17 	  22 	  22 	  17 	  14 	  14 	  21 	  21 	 
 f7 		 16 	  16 	  25 	  34 	  23 	  34 	  13 	  13 	  11 	  18 	  11 	  22 	  23 	  21 	  20 	 
 f8 		 18 	  34 	  22 	  15 	  17 	  27 	  23 	  10 	  17 	  11 	  12 	  12 	  10 	  13 	  21 	  ; 

 param 		 demand: 
		1 	 2 	 3 	 4 	 5 	 6 	 7 	 8 	 9 	 10 	 11 	 12 	 13 	 14 	 15 	  	 := 
 B1 		 16 	  19 	  8 	  16 	  18 	  8 	  21 	  24 	  22 	  25 	  29 	  20 	  24 	  27 	  23 	 
 B2 		 20 	  14 	  8 	  14 	  17 	  12 	  18 	  18 	  27 	  28 	  28 	  29 	  24 	  19 	  20 	 
 B3 		 10 	  8 	  12 	  20 	  21 	  13 	  20 	  24 	  25 	  25 	  19 	  29 	  22 	  21 	  28 	 
 B4 		 18 	  16 	  18 	  20 	  11 	  14 	  18 	  23 	  29 	  19 	  25 	  20 	  21 	  18 	  19 	 
 B5 		 15 	  19 	  8 	  19 	  12 	  20 	  26 	  29 	  29 	  22 	  18 	  29 	  29 	  25 	  18 	  ; 

 param: 	 CONTRACTPOOLS: 	 duration  :=
 		 pl1 		 2
 		 pl2 		 5
 		 pl3 		 8
 		 pl4 		 2
 		 pl5 		 2 ; 

 param:    capacity := 
 pl1 		 42
 pl2 		 55.5
 pl3 		 42
 pl4 		 55.5
 pl5 		 55.5
 pl6 		 64
 pl7 		 68
 pl8 		 75
 pl9 		 75
 pl10 		 68
 f1 		 78
 f2 		 78
 f3 		 56
 f4 		 56
 f5 		 56
 f6 		 67
 f7 		 49
 f8 		 51
 B1 		 90
 B2 		 73
 B3 		 82
 B4 		 90
 B5 		 82 ; 

 param 		 speclevel:
 		sp1 	 sp2 	 sp3 	 sp4 	  := 
 f1 		 0.39 	 0.56 	 0.71 	 0.21 	 
 f2 		 0.20 	 0.45 	 0.29 	 0.73 	 
 f3 		 0.31 	 0.59 	 0.54 	 0.31 	 
 f4 		 0.46 	 0.70 	 0.54 	 0.66 	 
 f5 		 0.51 	 0.55 	 0.69 	 0.45 	 
 f6 		 0.54 	 0.69 	 0.50 	 0.56 	 
 f7 		 0.62 	 0.68 	 0.54 	 0.42 	 
 f8 		 0.22 	 0.44 	 0.32 	 0.45 	  ; 

 param 		 minspec:
 		sp1 	 sp2 	 sp3 	 sp4 	  := 
 B1 		 0.46 	 0.57 	 0.54 	 0.40 	 
 B2 		 0.31 	 0.53 	 0.50 	 0.25 	 
 B3 		 0.26 	 0.46 	 0.32 	 0.46 	 
 B4 		 0.26 	 0.46 	 0.34 	 0.46 	 
 B5 		 0.37 	 0.53 	 0.56 	 0.35 	  ; 

 param 		 maxspec:
 		sp1 	 sp2 	 sp3 	 sp4 	  := 
 B1 		 0.56 	 0.69 	 0.65 	 0.49 	 
 B2 		 0.43 	 0.67 	 0.66 	 0.39 	 
 B3 		 0.46 	 0.66 	 0.47 	 0.75 	 
 B4 		 0.42 	 0.64 	 0.48 	 0.59 	 
 B5 		 0.51 	 0.67 	 0.73 	 0.48 	  ; 

 param:   ARCS: 		 flowlbd 	 varcost  :=
  		 [f1,pl1] 		 7 	 17
  		 [f1,pl4] 		 8 	 15
  		 [f1,pl5] 		 9 	 14
  		 [f2,pl3] 		 9 	 14
  		 [f2,pl5] 		 7 	 15
  		 [f3,pl1] 		 6 	 15
  		 [f3,pl2] 		 5 	 11
  		 [f3,pl3] 		 5 	 16
  		 [f3,pl4] 		 8 	 12
  		 [f3,pl5] 		 6 	 11
  		 [f4,pl1] 		 6 	 14
  		 [f4,pl2] 		 7 	 16
  		 [f4,pl4] 		 5 	 12
  		 [f5,pl2] 		 9 	 12
  		 [f5,pl4] 		 5 	 13
  		 [f6,pl1] 		 8 	 11
  		 [f6,pl2] 		 5 	 9
  		 [f6,pl3] 		 5 	 9
  		 [f6,pl4] 		 6 	 16
  		 [f6,pl5] 		 6 	 9
  		 [f7,pl1] 		 7 	 15
  		 [f7,pl2] 		 9 	 9
  		 [f7,pl3] 		 5 	 13
  		 [f7,pl4] 		 7 	 14
  		 [f7,pl5] 		 6 	 11
  		 [f8,pl1] 		 9 	 10
  		 [f8,pl2] 		 6 	 15
  		 [f8,pl3] 		 6 	 10
  		 [f8,pl4] 		 7 	 12
 		 [pl1,pl6] 		 5 	 6
 		 [pl1,pl9] 		 5 	 11
 		 [pl2,pl6] 		 4 	 10
 		 [pl2,pl7] 		 2 	 10
 		 [pl2,pl8] 		 4 	 10
 		 [pl2,pl9] 		 4 	 6
 		 [pl3,pl8] 		 2 	 7
 		 [pl3,pl9] 		 2 	 6
 		 [pl3,pl10] 		 3 	 5
 		 [pl4,pl6] 		 5 	 9
 		 [pl4,pl9] 		 5 	 5
 		 [pl4,pl10] 		 4 	 8
 		 [pl5,pl9] 		 2 	 11
 		 [pl5,pl10] 		 5 	 6
 		 [pl6,pl1] 		 5 	 6
 		 [pl6,pl2] 		 4 	 10
 		 [pl6,pl4] 		 5 	 9
 		 [pl7,pl2] 		 2 	 10
 		 [pl8,pl2] 		 4 	 10
 		 [pl8,pl3] 		 2 	 7
 		 [pl9,pl1] 		 5 	 11
 		 [pl9,pl2] 		 4 	 6
 		 [pl9,pl3] 		 2 	 6
 		 [pl9,pl4] 		 5 	 5
 		 [pl9,pl5] 		 2 	 11
 		 [pl10,pl3] 		 3 	 5
 		 [pl10,pl4] 		 4 	 8
 		 [pl10,pl5] 		 5 	 6
  		 [pl1,B3] 		 7 	 13
  		 [pl1,B4] 		 9 	 9
  		 [pl3,B3] 		 6 	 17
  		 [pl4,B5] 		 8 	 9
  		 [pl5,B2] 		 6 	 17
  		 [pl6,B1] 		 7 	 10
  		 [pl6,B3] 		 7 	 14
  		 [pl7,B1] 		 7 	 11
  		 [pl7,B2] 		 5 	 12
  		 [pl7,B3] 		 5 	 9
  		 [pl7,B4] 		 7 	 17
  		 [pl7,B5] 		 7 	 15
  		 [pl8,B2] 		 5 	 12
  		 [pl8,B3] 		 9 	 10
  		 [pl8,B4] 		 8 	 16
  		 [pl8,B5] 		 8 	 9
  		 [pl9,B1] 		 6 	 13
  		 [pl9,B2] 		 5 	 14
  		 [pl10,B1] 		 8 	 14
  		 [pl10,B2] 		 9 	 16
  		 [pl10,B5] 		 7 	 12 ; 



